sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
左營,高雄市,62,細懸浮微粒,普通,0.8,0.2,32,35,31,16,5,7.3,1.5,3.4,178,"2026/04/22 16:00:00",0.2,16.4,36,1,120.292917,22.674861,54
前金,高雄市,61,懸浮微粒,普通,0.4,0.2,32,35,42,13,6,7.5,1.1,3.9,176,"2026/04/22 16:00:00",0.2,13.1,40,1,120.28676111,22.63390278,56
前鎮,高雄市,60,細懸浮微粒,普通,,0.26,31,33,39,13,6,9.4,2.7,2.3,148,"2026/04/22 16:00:00",0.3,15.7,37,1,120.30833356,22.6044507,57
小港,高雄市,72,細懸浮微粒,普通,4.3,0.27,30,34,42,13,6,8.8,1.9,2.2,161,"2026/04/22 16:00:00",0.3,20.2,48,3,120.337736,22.565833,58
屏東,屏東縣,57,細懸浮微粒,普通,,,33,,33,16,,,,2.6,170,"2026/04/22 16:00:00",0.2,14.6,,1,120.488033,22.673081,59
潮州,屏東縣,54,細懸浮微粒,普通,0.9,0.19,35,41,31,7,1,2.8,1,3.5,187,"2026/04/22 16:00:00",0.1,13.5,33,0,120.561175,22.523108,60
恆春,屏東縣,44,,良好,0.9,0.13,37,43,27,9,1,2.3,1,3,203,"2026/04/22 16:00:00",0.1,10.9,26,0,120.788928,21.958069,61
臺東,臺東縣,51,懸浮微粒,普通,0.7,0.24,33,41,40,10,2,4,1.4,1.9,198,"2026/04/22 16:00:00",0.2,12,31,0,121.15045,22.755358,62
花蓮,花蓮縣,45,,良好,1.1,0.17,40,39,26,10,1,2.4,0.6,2.9,186,"2026/04/22 16:00:00",0.1,11,27,1,121.599769,23.971306,63
陽明,臺北市,75,細懸浮微粒,普通,0.2,0.26,57,59,45,27,5,6.1,0.3,,,"2026/04/22 16:00:00",0.3,21.4,37,1,121.529583,25.182722,64
宜蘭,宜蘭縣,51,細懸浮微粒,普通,,,40,51,40,15,,,,2.6,8,"2026/04/22 16:00:00",0.2,12.5,30,0,121.746394,24.747917,65
冬山,宜蘭縣,53,細懸浮微粒,普通,0.6,0.21,40,46,24,10,2,3.7,1.1,2.4,173,"2026/04/22 16:00:00",0.3,13.1,24,0,121.792928,24.632203,66
三重,新北市,82,細懸浮微粒,普通,1.2,0.55,37,40,58,24,33,47,13.6,-,-,"2026/04/22 16:00:00",0.7,23.7,49,0,121.493806,25.072611,67
中壢,桃園市,83,細懸浮微粒,普通,0.9,,31,39,49,22,19,38.5,19.4,1.9,80,"2026/04/22 16:00:00",0.8,24.2,46,1,121.221667,24.953278,68
竹山,南投縣,86,懸浮微粒,普通,4.9,0.38,58,53,139,,4,6.2,1.3,3.8,245,"2026/04/22 16:00:00",0.2,18.1,62,1,120.677306,23.756389,69
永和,新北市,82,細懸浮微粒,普通,1.8,0.72,36,49,74,30,34,46.6,11.7,1.6,51,"2026/04/22 16:00:00",0.7,24,49,0,121.516306,25.017,70
復興,高雄市,62,細懸浮微粒,普通,1.2,0.23,28,32,40,16,9,12.7,3.6,1.8,100,"2026/04/22 16:00:00",0.3,16.5,40,1,120.312017,22.608711,71
埔里,南投縣,76,細懸浮微粒,普通,1.6,0.26,62,47,94,23,1,2.5,0.6,2.2,317,"2026/04/22 16:00:00",0.2,21.8,53,1,120.967903,23.968842,72
馬祖,連江縣,64,細懸浮微粒,普通,0.6,0.16,52,49,36,17,2,3.7,1.1,4.5,183,"2026/04/22 16:00:00",0.1,17.3,34,0,119.952724,26.153736,75
金門,金門縣,85,細懸浮微粒,普通,0.8,0.18,40,40,33,15,,,,4.3,192,"2026/04/22 16:00:00",0.2,24.8,39,0,118.312256,24.432133,77
馬公,澎湖縣,67,細懸浮微粒,普通,0,0.19,40,42,36,19,3,4.5,1,3.5,176,"2026/04/22 16:00:00",0.1,18.4,36,0,119.566158,23.569031,78
關山,臺東縣,48,,良好,1,0.15,32,35,21,11,1,2.1,0.8,3.6,220,"2026/04/22 16:00:00",0.1,11.9,22,1,121.161933,23.045083,80
麥寮,雲林縣,80,懸浮微粒,普通,1.3,0.23,32,44,43,14,1,2.4,0.5,4.3,205,"2026/04/22 16:00:00",0.2,20.1,57,1,120.251825,23.753506,83
富貴角,新北市,90,臭氧八小時,普通,0.9,0.2,74,67,47,19,2,2.4,0,2.5,257,"2026/04/22 16:00:00",0.2,15.8,33,1,121.53656894,25.29681695,84
大城,彰化縣,106,懸浮微粒,對敏感族群不健康,0.9,0.18,35,46,78,22,1,3.3,2.1,5.8,183,"2026/04/22 16:00:00",0.2,27.2,88,1,120.26964167,23.85493056,85
臺灣大道,臺中市,73,細懸浮微粒,普通,0.7,0.36,37,42,57,19,9,15.6,6,1.8,345,"2026/04/22 16:00:00",0.6,20.7,45,1,120.6567111,24.1589,88
員林,彰化縣,82,細懸浮微粒,普通,1.2,0.2,40,52,60,21,3,5.4,1.5,4.9,254,"2026/04/22 16:00:00",0.2,23.8,55,1,120.5631893,23.9615945,139
林森,臺南市,78,懸浮微粒,普通,0.5,0.34,30,35,64,15,7,11.4,3.9,2.9,260,"2026/04/22 16:00:00",0.4,15.4,55,1,120.22216042,22.98522502,140
南投（鹿谷）,南投縣,68,細懸浮微粒,普通,2.3,0.23,59,49,45,20,3,4.7,1.4,1.7,291,"2026/04/22 16:00:00",0.2,18.7,33,1,120.7944772,23.71867609,203
屏東（琉球）,屏東縣,48,,良好,0.2,0.2,38,40,29,8,1,2.1,0.8,1.1,155,"2026/04/22 16:00:00",0.1,10.5,29,0,120.37722,22.35222,204
新北（樹林）,新北市,82,細懸浮微粒,普通,1.3,0.33,52,60,43,26,,,,1.1,26,"2026/04/22 16:00:00",0.3,23.8,35,0,121.38352778,24.94902778,311
屏東（枋山）,屏東縣,53,細懸浮微粒,普通,0.5,0.18,36,42,26,13,0,0.6,0,2.4,165,"2026/04/22 16:00:00",0.1,13.1,30,0,120.651472,22.260899,313
